B,P,C,X,N,Time
5,1,1,0,1,0.031212
5,1,5,0,1,0.033480
5,5,1,0,1,0.017194
5,5,5,0,1,0.023363
10,1,1,0,1,0.018794
10,1,5,0,1,0.017223
10,1,10,0,1,0.017145
10,5,1,0,1,0.010425
10,5,5,0,1,0.014406
10,5,10,0,1,0.014108
10,10,1,0,1,0.014767
10,10,5,0,1,0.011257
10,10,10,0,1,0.013416
5,1,1,200,1,0.020921
5,1,5,200,1,0.015659
5,5,1,200,1,0.006709
5,5,5,200,1,0.016088
10,1,1,200,1,0.013485
10,1,5,200,1,0.012694
10,1,10,200,1,0.011673
10,5,1,200,1,0.012111
10,5,5,200,1,0.009080
10,5,10,200,1,0.016095
10,10,1,200,1,0.009142
10,10,5,200,1,0.008525
10,10,10,200,1,0.012983
5,1,1,400,1,0.006624
5,1,5,400,1,0.012330
5,5,1,400,1,0.011303
5,5,5,400,1,0.006089
10,1,1,400,1,0.004840
10,1,5,400,1,0.018368
10,1,10,400,1,0.017143
10,5,1,400,1,0.007112
10,5,5,400,1,0.004221
10,5,10,400,1,0.012017
10,10,1,400,1,0.009620
10,10,5,400,1,0.006002
10,10,10,400,1,0.007555
