T,M,Time
1,1,3.198274
1,10,20.636555
1,20,32.891812
1,30,45.765031
1,40,52.357480
1,50,62.316808
1,100,62.361522
10,1,0.315767
10,10,2.357513
10,20,3.636897
10,30,4.893450
10,40,5.636400
10,50,6.741469
10,100,6.726250
20,1,0.229993
20,10,1.239971
20,20,1.963829
20,30,2.615049
20,40,3.016132
20,50,3.829931
20,100,3.832498
